,YEAR,AGEGRP,Source,Vintage,Value
0,2000,0 to 4,Intercensal,2012,122979
1,2000,10 to 14,Intercensal,2012,123618
2,2000,15 to 19,Intercensal,2012,123163
3,2000,20 to 24,Intercensal,2012,131725
4,2000,25 to 29,Intercensal,2012,134632
5,2000,30 to 34,Intercensal,2012,137157
6,2000,35 to 39,Intercensal,2012,144948
7,2000,40 to 44,Intercensal,2012,142930
8,2000,45 to 49,Intercensal,2012,125185
9,2000,5 to 9,Intercensal,2012,126236
10,2000,50 to 54,Intercensal,2012,109013
11,2000,55 to 59,Intercensal,2012,78556
12,2000,60 to 64,Intercensal,2012,61439
13,2000,65 to 69,Intercensal,2012,51298
14,2000,70 to 74,Intercensal,2012,46543
15,2000,75 to 79,Intercensal,2012,37212
16,2000,80 to 84,Intercensal,2012,23803
17,2000,85 or older,Intercensal,2012,20021
18,2010,0 to 4,Intercensal,2012,135420
19,2010,0 to 4,PEP,2020,135342
20,2010,10 to 14,Intercensal,2012,133112
21,2010,10 to 14,PEP,2020,133420
22,2010,15 to 19,Intercensal,2012,137305
23,2010,15 to 19,PEP,2020,137514
24,2010,20 to 24,Intercensal,2012,146880
25,2010,20 to 24,PEP,2020,146406
26,2010,25 to 29,Intercensal,2012,146386
27,2010,25 to 29,PEP,2020,146092
28,2010,30 to 34,Intercensal,2012,139669
29,2010,30 to 34,PEP,2020,139275
30,2010,35 to 39,Intercensal,2012,137177
31,2010,35 to 39,PEP,2020,137178
32,2010,40 to 44,Intercensal,2012,137543
33,2010,40 to 44,PEP,2020,138208
34,2010,45 to 49,Intercensal,2012,143944
35,2010,45 to 49,PEP,2020,143977
36,2010,5 to 9,Intercensal,2012,135540
37,2010,5 to 9,PEP,2020,135296
38,2010,50 to 54,Intercensal,2012,140905
39,2010,50 to 54,PEP,2020,140857
40,2010,55 to 59,Intercensal,2012,120109
41,2010,55 to 59,PEP,2020,120283
42,2010,60 to 64,Intercensal,2012,100125
43,2010,60 to 64,PEP,2020,100415
44,2010,65 to 69,Intercensal,2012,68589
45,2010,65 to 69,PEP,2020,68480
46,2010,70 to 74,Intercensal,2012,50558
47,2010,70 to 74,PEP,2020,50600
48,2010,75 to 79,Intercensal,2012,38338
49,2010,75 to 79,PEP,2020,38430
50,2010,80 to 84,Intercensal,2012,29540
51,2010,80 to 84,PEP,2020,29642
52,2010,85 or older,Intercensal,2012,26961
53,2010,85 or older,PEP,2020,27019
54,2020,0 to 4,PEP,2020,141649
55,2020,0 to 4,PEP,2021,141084
56,2020,0 to 4,PEP,2022,139210
57,2020,10 to 14,PEP,2020,141411
58,2020,10 to 14,PEP,2021,146835
59,2020,10 to 14,PEP,2022,145125
60,2020,15 to 19,PEP,2020,142144
61,2020,15 to 19,PEP,2021,145288
62,2020,15 to 19,PEP,2022,147719
63,2020,20 to 24,PEP,2020,141659
64,2020,20 to 24,PEP,2021,140264
65,2020,20 to 24,PEP,2022,144660
66,2020,25 to 29,PEP,2020,170225
67,2020,25 to 29,PEP,2021,166274
68,2020,25 to 29,PEP,2022,166276
69,2020,30 to 34,PEP,2020,173365
70,2020,30 to 34,PEP,2021,172526
71,2020,30 to 34,PEP,2022,172035
72,2020,35 to 39,PEP,2020,156792
73,2020,35 to 39,PEP,2021,158846
74,2020,35 to 39,PEP,2022,158291
75,2020,40 to 44,PEP,2020,142011
76,2020,40 to 44,PEP,2021,143942
77,2020,40 to 44,PEP,2022,143638
78,2020,45 to 49,PEP,2020,136594
79,2020,45 to 49,PEP,2021,138260
80,2020,45 to 49,PEP,2022,138078
81,2020,5 to 9,PEP,2020,144766
82,2020,5 to 9,PEP,2021,144791
83,2020,5 to 9,PEP,2022,142974
84,2020,50 to 54,PEP,2020,134990
85,2020,50 to 54,PEP,2021,136867
86,2020,50 to 54,PEP,2022,136566
87,2020,55 to 59,PEP,2020,136091
88,2020,55 to 59,PEP,2021,137977
89,2020,55 to 59,PEP,2022,137268
90,2020,60 to 64,PEP,2020,128645
91,2020,60 to 64,PEP,2021,129410
92,2020,60 to 64,PEP,2022,128529
93,2020,65 to 69,PEP,2020,105838
94,2020,65 to 69,PEP,2021,106029
95,2020,65 to 69,PEP,2022,105320
96,2020,70 to 74,PEP,2020,84215
97,2020,70 to 74,PEP,2021,83235
98,2020,70 to 74,PEP,2022,82846
99,2020,75 to 79,PEP,2020,53501
100,2020,75 to 79,PEP,2021,51521
101,2020,75 to 79,PEP,2022,51789
102,2020,80 to 84,PEP,2020,34283
103,2020,80 to 84,PEP,2021,32455
104,2020,80 to 84,PEP,2022,33311
105,2020,85 or older,PEP,2020,33700
106,2020,85 or older,PEP,2021,30128
107,2020,85 or older,PEP,2022,32816
